image_path,class,width,height,format,mode,duplicate,label,split
dataset\Apple___healthy\image (1643).JPG,Apple___healthy,256,256,JPEG,RGB,False,healthy,validation
dataset\Apple___Apple_scab\image (257).JPG,Apple___Apple_scab,256,256,JPEG,RGB,False,apple_scab,train
dataset\Apple___healthy\image (1641).JPG,Apple___healthy,256,256,JPEG,RGB,False,healthy,train
dataset\Apple___Black_rot\image (151).JPG,Apple___Black_rot,256,256,JPEG,RGB,False,black_rot,train
dataset\Apple___healthy\image (1173).JPG,Apple___healthy,256,256,JPEG,RGB,False,healthy,train
dataset\Apple___Apple_scab\image (43).JPG,Apple___Apple_scab,256,256,JPEG,RGB,False,apple_scab,train
dataset\Apple___Apple_scab\image (485).JPG,Apple___Apple_scab,256,256,JPEG,RGB,False,apple_scab,train
dataset\Apple___Cedar_apple_rust\image (109).JPG,Apple___Cedar_apple_rust,256,256,JPEG,RGB,False,cedar_rust,test
dataset\Apple___healthy\image (186).JPG,Apple___healthy,256,256,JPEG,RGB,False,healthy,train
dataset\Apple___healthy\image (1582).JPG,Apple___healthy,256,256,JPEG,RGB,False,healthy,train
dataset\Apple___Black_rot\image (513).JPG,Apple___Black_rot,256,256,JPEG,RGB,False,black_rot,validation
dataset\Apple___healthy\image (34).JPG,Apple___healthy,256,256,JPEG,RGB,False,healthy,test
dataset\Apple___Apple_scab\image (230).JPG,Apple___Apple_scab,256,256,JPEG,RGB,False,apple_scab,train
dataset\Apple___Apple_scab\image (491).JPG,Apple___Apple_scab,256,256,JPEG,RGB,False,apple_scab,test
dataset\Apple___Black_rot\image (400).JPG,Apple___Black_rot,256,256,JPEG,RGB,False,black_rot,validation
dataset\Apple___Black_rot\image (323).JPG,Apple___Black_rot,256,256,JPEG,RGB,False,black_rot,validation
dataset\Apple___healthy\image (553).JPG,Apple___healthy,256,256,JPEG,RGB,False,healthy,test
dataset\Apple___healthy\image (1622).JPG,Apple___healthy,256,256,JPEG,RGB,False,healthy,test
dataset\Apple___healthy\image (994).JPG,Apple___healthy,256,256,JPEG,RGB,False,healthy,train
dataset\Apple___healthy\image (314).JPG,Apple___healthy,256,256,JPEG,RGB,False,healthy,train
dataset\Apple___Cedar_apple_rust\image (219).JPG,Apple___Cedar_apple_rust,256,256,JPEG,RGB,False,cedar_rust,test
dataset\Apple___Apple_scab\image (156).JPG,Apple___Apple_scab,256,256,JPEG,RGB,False,apple_scab,train
dataset\Apple___healthy\image (441).JPG,Apple___healthy,256,256,JPEG,RGB,False,healthy,train
dataset\Apple___Apple_scab\image (602).JPG,Apple___Apple_scab,256,256,JPEG,RGB,False,apple_scab,train
