image_path,class,internal_class,selection,reviewed
dataset\Apple___Apple_scab\image (164).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___healthy\image (1168).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (581).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Black_rot\image (410).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (31).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (77).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Apple_scab\image (115).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (27).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (357).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (588).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Apple_scab\image (312).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Apple_scab\image (218).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Black_rot\image (161).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (398).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (609).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___healthy\image (1399).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (577).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (389).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (617).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___healthy\image (559).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (620).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (35).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (511).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (399).JPG,Apple___Black_rot,black_rot,high,1
dataset\Apple___Black_rot\image (362).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (229).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___healthy\image (1453).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (182).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Apple_scab\image (509).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Black_rot\image (130).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___healthy\image (500).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (194).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Black_rot\image (230).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___healthy\image (1597).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (170).JPG,Apple___Black_rot,black_rot,high,1
dataset\Apple___Apple_scab\image (615).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (171).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___healthy\image (1630).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (128).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Cedar_apple_rust\image (84).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Black_rot\image (62).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Cedar_apple_rust\image (136).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Apple_scab\image (168).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (56).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___healthy\image (453).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (115).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (1).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (256).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (523).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Cedar_apple_rust\image (230).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (268).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Black_rot\image (72).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (329).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (275).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (36).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (586).JPG,Apple___Black_rot,black_rot,high,1
dataset\Apple___Cedar_apple_rust\image (181).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Apple_scab\image (559).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Apple_scab\image (303).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Apple_scab\image (29).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___healthy\image (1162).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (118).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Cedar_apple_rust\image (14).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Apple_scab\image (119).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Cedar_apple_rust\image (22).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (122).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Cedar_apple_rust\image (112).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Cedar_apple_rust\image (204).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Apple_scab\image (561).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___healthy\image (777).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (219).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (603).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___healthy\image (19).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (7).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (268).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (11).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Apple_scab\image (259).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___healthy\image (811).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (582).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Apple_scab\image (338).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Cedar_apple_rust\image (47).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (329).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Apple_scab\image (374).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___healthy\image (831).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (527).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (225).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___healthy\image (171).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (582).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___healthy\image (1063).JPG,Apple___healthy,healthy,low,1
